cough_rate;sweating;virus_resistance
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.3081141;2.392263;-0.1152347
0.3081141;2.392263;-0.1152347
0.3081141;2.392263;-0.1152347
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.295743;2.413191;-0.1349058
0.295743;2.413191;-0.1349058
0.295743;2.413191;-0.1349058
0.295743;2.413191;-0.1349058
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
