cough_rate;sweating;virus_resistance;aggressiveness;movement_speed;exhaustion_tolerance;pain_tolerance
1.234255;1.073209;1.650854;1.065398;1.648933;1.040958;1.292678
1.243266;1.042694;1.651154;1.086979;1.703529;1.038837;1.308414
1.278026;1.048418;1.674817;1.076627;1.737054;1.06472;1.269936
1.305475;1.059482;1.69293;1.105964;1.748493;1.048745;1.277938
1.312904;1.041774;1.720994;1.086452;1.752306;1.056807;1.284933
1.294688;1.041774;1.723849;1.087219;1.77434;1.056807;1.293378
1.317803;1.012024;1.729902;1.132126;1.82006;1.057031;1.290293
1.295456;1.02792;1.744681;1.112055;1.836714;1.091656;1.282249
1.269465;1.042645;1.740923;1.101152;1.856917;1.085079;1.270629
1.245974;1.071333;1.741104;1.091654;1.921342;1.091076;1.281035
1.266519;1.076116;1.762844;1.085102;1.934508;1.087568;1.268663
1.279829;1.071807;1.758755;1.08876;1.931391;1.089274;1.264929
1.22939;1.091037;1.754944;1.082313;1.968038;1.062968;1.256821
1.247406;1.085067;1.777807;1.09371;1.958603;1.055133;1.261149
1.170545;1.100218;1.739236;1.087721;2.011454;1.042394;1.274392
1.16641;1.100227;1.742318;1.09785;2.010798;1.045522;1.27342
1.158666;1.108032;1.728729;1.082398;2.027665;1.068556;1.288761
1.13796;1.094354;1.716215;1.076518;2.02654;1.071293;1.291797
1.135879;1.076191;1.716859;1.080109;2.040699;1.068354;1.292322
1.127486;1.080192;1.713671;1.072595;2.04624;1.070704;1.292152
1.146093;1.079046;1.72471;1.060512;2.041821;1.08684;1.298005
1.163273;1.069993;1.70771;1.062472;2.019559;1.082335;1.277177
1.207838;1.065611;1.731302;1.04394;1.995994;1.12681;1.289209
1.21379;1.052608;1.750758;1.040893;1.998312;1.13131;1.293229
1.22785;1.044054;1.752977;1.052446;2.012656;1.104164;1.281105
1.232623;1.034631;1.75083;1.066744;1.999923;1.090984;1.288704
1.242337;1.027499;1.758202;1.055382;2.000135;1.11575;1.3061
1.256454;1.027112;1.757455;1.069022;2.03248;1.102493;1.299289
1.249529;1.009968;1.75534;1.071128;2.044178;1.102026;1.31102
1.249529;1.009968;1.762986;1.077442;2.044178;1.113459;1.31102
1.243569;1.006569;1.783645;1.082914;2.054247;1.119138;1.310595
1.234963;1.00649;1.796514;1.084162;2.065371;1.120642;1.321291
1.215131;1.019798;1.795065;1.075988;2.062675;1.122951;1.32412
1.194397;1.014004;1.793138;1.097107;2.07438;1.094446;1.313829
1.198642;1.006082;1.768478;1.103356;2.069722;1.082035;1.31444
1.207579;1.006082;1.765442;1.097585;2.061462;1.093442;1.31444
1.196121;1.006319;1.761656;1.096143;2.068554;1.096875;1.318794
1.199701;1.003255;1.759964;1.07053;2.094464;1.12003;1.330154
1.236498;0.9911439;1.793558;1.070481;2.060385;1.136429;1.330154
1.279655;0.9924735;1.822336;1.077508;2.048121;1.144575;1.338769
1.263871;0.9829873;1.819248;1.074764;2.055349;1.140393;1.339929
1.272637;0.9864664;1.825011;1.068878;2.046715;1.157151;1.340912
1.242551;1.002905;1.798448;1.083888;2.039276;1.141654;1.324485
1.269044;1.007345;1.804082;1.077423;2.035442;1.147837;1.322622
1.307426;0.9875533;1.82855;1.074324;2.025418;1.149769;1.327761
1.307426;0.9875533;1.82855;1.074324;2.025418;1.149769;1.327761
1.29104;0.9914222;1.826353;1.06444;2.015269;1.153874;1.328459
1.289933;0.9957201;1.829097;1.053058;1.989006;1.132062;1.318547
1.297922;0.9929863;1.830157;1.054571;1.993722;1.150125;1.322486
1.293811;0.9964376;1.833881;1.079171;2.029413;1.148681;1.326196
1.29854;0.9787373;1.833173;1.074612;2.03274;1.145454;1.326508
1.29873;0.98876;1.82634;1.0739;2.036502;1.130514;1.315255
1.302938;0.9760065;1.825257;1.061593;2.032521;1.142231;1.315413
1.272807;0.9857169;1.816291;1.066799;2.037654;1.129483;1.315575
1.25714;0.982753;1.804321;1.060745;2.033792;1.127659;1.321858
1.244895;0.9713786;1.806334;1.049345;2.037971;1.137334;1.321611
1.253748;0.9713786;1.799167;1.051306;2.029641;1.118664;1.32491
1.248367;0.970561;1.803086;1.054826;2.030809;1.110532;1.317838
1.230258;0.9676228;1.805974;1.057097;2.058009;1.123455;1.322181
1.228193;0.975139;1.797085;1.044797;2.062701;1.127786;1.328145
1.226611;0.9803356;1.807389;1.026329;2.061057;1.135386;1.32924
1.199701;0.9843246;1.784574;1.030706;2.086337;1.118723;1.333847
1.204341;0.9847856;1.787489;1.020794;2.092287;1.114791;1.345833
1.217791;0.9847856;1.803062;1.016951;2.097734;1.139037;1.345833
1.238819;0.9847856;1.815992;1.010161;2.098709;1.150552;1.345833
1.222439;0.9998333;1.814289;1.037273;2.140563;1.111213;1.349634
1.214885;1.014003;1.808188;1.044196;2.150003;1.127782;1.348983
1.193791;1.024405;1.796003;1.047179;2.168877;1.119916;1.349634
1.215283;1.014415;1.802015;1.045536;2.158066;1.12186;1.350305
1.226825;1.033695;1.816408;1.052266;2.178856;1.152484;1.360003
1.255982;1.023346;1.824491;1.052266;2.16259;1.156893;1.360003
1.273202;1.024054;1.854076;1.076784;2.158081;1.164249;1.361699
1.276874;1.007366;1.868743;1.069164;2.131238;1.146903;1.361699
1.298553;1.004988;1.882492;1.052504;2.100989;1.156233;1.367464
1.325099;0.9957334;1.900866;1.070875;2.087378;1.161584;1.361872
1.31142;0.9919956;1.885692;1.086176;2.09191;1.12529;1.348556
1.283985;0.9950889;1.882875;1.08353;2.107592;1.112514;1.350174
1.278887;0.9842684;1.893821;1.133372;2.107697;1.090163;1.344388
1.327244;0.9714211;1.910638;1.143022;2.106419;1.095846;1.345109
1.324848;0.9714211;1.911238;1.159521;2.094619;1.082966;1.345109
1.31208;0.9912378;1.894509;1.156683;2.082863;1.084641;1.339679
1.299313;0.9912378;1.883422;1.163273;2.094663;1.097671;1.339679
1.286546;0.9912378;1.882823;1.171517;2.095447;1.071415;1.32198
1.278756;0.9910786;1.881841;1.171746;2.100857;1.067485;1.322306
1.273778;0.9912378;1.882224;1.171517;2.104755;1.080218;1.32198
1.267008;0.9863392;1.882593;1.171297;2.110317;1.077165;1.321666
1.267008;0.9863392;1.882593;1.171297;2.110317;1.077165;1.321666
1.276717;0.9770579;1.898264;1.174636;2.126708;1.081677;1.327834
1.267008;0.9778628;1.89844;1.199553;2.13346;1.064859;1.327
1.248453;0.9650328;1.900723;1.208956;2.145572;1.048157;1.325852
1.247268;0.9618541;1.8896;1.231734;2.149419;1.02677;1.325495
1.24328;0.9624693;1.889512;1.23056;2.143674;1.024825;1.325149
1.217612;0.9677146;1.896492;1.246517;2.179987;0.9789862;1.311396
1.207269;0.967158;1.879261;1.248027;2.197397;0.9736652;1.311523
1.195237;0.969368;1.880441;1.259471;2.205068;0.951242;1.311155
1.208549;0.9688575;1.880061;1.261147;2.187589;0.956832;1.311274
1.207269;0.9727489;1.879261;1.226767;2.181283;0.9789413;1.311523
1.194715;0.9732108;1.869689;1.230046;2.183619;0.9649138;1.311396
1.223787;0.9599248;1.877565;1.207074;2.168603;0.9762036;1.311654
1.261485;0.9484826;1.887483;1.206244;2.15509;1.00229;1.311523
1.253529;0.9475788;1.856833;1.190138;2.163805;1.001228;1.311654
1.258057;0.9466428;1.856004;1.164773;2.161031;1.013776;1.31179
1.261485;0.9484826;1.858212;1.144023;2.16543;1.016184;1.326604
1.264685;0.9501999;1.859954;1.124656;2.160771;1.027727;1.340431
