at_home;at_hospital;wandering;chasing;going_home;going_to_hospital
40;0;39;4;39;0
36;0;48;5;33;0
27;0;56;5;34;0
31;0;58;3;30;0
30;0;55;7;30;0
24;0;54;7;37;0
23;0;58;4;37;0
22;0;56;2;42;0
20;0;59;3;40;0
19;0;48;6;49;0
24;0;47;6;45;0
27;0;44;6;45;0
35;0;45;3;39;0
34;0;47;2;39;0
24;0;55;3;40;0
18;0;50;6;48;0
17;0;50;8;47;0
22;0;41;6;53;0
26;0;36;6;54;0
35;0;43;5;39;0
40;0;42;4;36;0
33;0;45;8;36;0
31;0;55;4;32;0
30;0;56;4;32;0
24;0;55;5;38;0
22;0;52;5;43;0
20;0;51;6;45;0
28;0;46;6;42;0
22;0;52;4;44;0
21;0;51;6;44;0
28;0;53;4;37;0
33;0;52;5;32;0
21;0;45;8;48;0
21;0;44;8;49;0
23;0;45;7;47;0
34;0;42;5;41;0
32;0;38;4;48;0
24;0;48;6;44;0
30;0;48;3;41;0
31;0;50;3;38;0
32;0;49;5;36;0
24;0;50;5;43;0
21;0;56;8;37;0
31;0;54;7;30;0
30;0;57;1;34;0
22;0;51;8;40;1
22;0;55;6;38;1
20;0;59;3;39;1
27;1;46;4;44;0
30;1;45;3;43;0
24;1;43;5;49;0
28;1;40;9;44;0
25;1;44;8;44;0
29;1;42;7;43;0
24;0;47;9;42;0
28;0;49;4;41;0
29;0;52;4;37;0
34;0;55;2;31;0
35;0;51;4;32;0
30;0;55;4;33;0
25;0;49;6;42;0
23;0;49;2;48;0
31;0;49;2;40;0
35;0;36;9;42;0
36;0;44;7;35;0
33;0;50;8;31;0
30;0;50;8;34;0
20;0;59;5;38;0
17;0;58;6;41;0
23;0;51;7;41;0
20;0;45;6;51;0
22;0;47;5;48;0
34;0;43;2;43;0
35;0;42;4;41;0
34;0;47;7;34;0
37;0;50;3;32;0
30;0;53;5;34;0
23;0;52;9;38;0
27;0;42;9;44;0
25;0;44;3;50;0
32;0;45;4;41;0
35;0;47;4;36;0
27;0;45;5;45;0
22;0;46;9;45;0
34;0;45;3;40;0
34;0;48;4;36;0
29;0;53;3;37;0
28;0;49;2;43;0
38;0;47;1;36;0
35;0;52;1;34;0
34;0;58;2;28;0
33;0;52;3;34;0
33;0;46;5;38;0
34;0;47;5;36;0
28;0;56;5;33;0
25;0;58;4;35;0
19;0;56;1;46;0
21;0;49;2;50;0
29;0;46;3;44;0
42;0;41;3;36;0
38;0;41;6;37;0
33;0;50;2;37;0
25;0;60;2;35;0
27;0;57;3;35;0
29;0;57;2;34;0
26;0;56;1;39;0
27;0;52;2;41;0
18;0;60;3;41;0
26;0;48;2;46;0
32;0;46;2;42;0
32;0;42;1;47;0
31;0;46;1;44;0
30;0;56;1;35;0
34;0;50;4;34;0
27;0;52;4;39;0
24;0;48;3;47;0
31;0;45;1;45;0
32;0;48;0;42;0
36;0;48;1;37;0
40;0;56;3;23;0
38;0;53;4;27;0
22;0;68;4;28;0
20;0;69;2;31;0
22;0;60;1;39;0
15;0;54;1;52;0
18;0;41;0;63;0
27;0;34;2;59;0
37;0;35;2;48;0
53;0;36;2;31;0
50;0;43;0;29;0
39;0;53;1;29;0
31;0;65;0;26;0
24;0;62;0;36;0
17;0;66;1;38;0
21;0;49;0;52;0
28;0;38;1;55;0
32;0;39;1;50;0
46;0;43;1;32;0
47;0;44;1;30;0
39;0;50;0;33;0
27;0;57;4;34;0
31;0;55;1;35;0
27;0;51;2;42;0
26;0;48;1;47;0
23;0;50;0;49;0
35;0;47;0;40;0
41;0;48;0;33;0
43;0;42;0;37;0
31;0;55;1;35;0
31;0;56;2;33;0
32;0;52;2;36;0
26;0;55;0;41;0
28;0;53;0;41;0
34;0;52;0;36;0
37;0;48;0;37;0
41;0;48;0;33;0
32;0;57;0;33;0
27;0;58;1;36;0
26;0;56;1;39;0
34;0;44;1;43;0
31;0;44;1;46;0
34;0;49;1;38;0
34;0;53;1;34;0
34;0;55;1;32;0
26;0;64;1;31;0
31;0;57;0;34;0
33;0;53;0;36;0
20;0;53;1;48;0
23;0;57;1;41;0
32;0;46;1;43;0
34;0;44;0;44;0
28;0;43;0;51;0
29;0;45;1;47;0
32;0;47;0;43;0
38;0;48;0;36;0
35;0;49;1;37;0
31;0;52;0;39;0
36;0;44;2;40;0
34;0;44;1;43;0
37;0;46;1;38;0
33;0;50;1;38;0
38;0;56;0;28;0
29;0;63;0;30;0
27;0;63;0;32;0
22;0;56;0;44;0
18;0;55;0;49;0
22;0;47;0;53;0
30;0;38;0;54;0
37;0;40;0;45;0
41;0;42;0;39;0
37;0;51;1;33;0
29;0;54;0;39;0
34;0;52;0;35;0
27;0;52;0;42;0
33;0;42;0;46;0
38;0;43;0;40;0
34;0;44;0;43;0
28;0;53;0;40;0
35;0;51;0;35;0
37;0;49;0;35;0
31;0;54;0;36;0
27;0;57;0;37;0
31;0;54;0;36;0
34;0;48;0;39;0
28;0;51;0;42;0
28;0;53;0;40;0
27;0;57;1;36;0
35;0;47;1;38;0
29;0;52;0;40;0
23;0;49;0;49;0
29;0;50;0;42;0
36;0;46;0;39;0
33;0;40;1;47;0
34;0;51;0;36;0
36;0;44;0;41;0
23;0;61;0;37;0
29;0;56;0;36;0
32;0;53;0;36;0
28;0;47;0;46;0
23;0;46;0;52;0
30;0;46;0;45;0
39;0;39;0;43;0
47;0;44;0;30;0
33;0;52;0;36;0
26;0;58;0;37;0
21;0;60;0;40;0
21;0;51;0;49;0
23;0;50;0;48;0
38;0;41;0;42;0
46;0;36;0;39;0
47;0;46;0;28;0
36;0;56;1;28;0
28;0;62;0;31;0
19;0;63;0;39;0
22;0;48;0;51;0
20;0;48;0;53;0
29;0;39;0;53;0
40;0;36;1;44;0
46;0;37;1;37;0
44;0;45;0;32;0
37;0;50;0;34;0
35;0;48;0;38;0
22;0;52;0;47;0
30;0;49;0;42;0
38;0;42;0;41;0
40;0;41;0;40;0
35;0;46;0;40;0
41;0;48;0;32;0
38;0;50;0;33;0
29;0;56;0;36;0
28;0;51;0;42;0
28;0;55;0;38;0
30;0;43;0;48;0
27;0;44;0;50;0
37;0;40;0;44;0
41;0;39;0;41;0
42;0;40;0;39;0
42;0;40;0;39;0
36;0;52;0;33;0
36;0;50;0;35;0
30;0;60;0;31;0
20;0;56;0;45;0
15;0;54;0;52;0
24;0;42;0;55;0
30;0;37;0;54;0
43;0;34;0;44;0
44;0;37;0;40;0
43;0;47;0;31;0
39;0;48;0;34;0
34;0;52;0;35;0
22;0;53;0;46;0
28;0;44;0;49;0
42;0;37;0;42;0
38;0;43;0;40;0
30;0;50;0;41;0
38;0;49;0;34;0
41;0;52;0;28;0
32;0;54;0;35;0
29;0;48;0;44;0
32;0;50;0;39;0
36;0;49;0;36;0
39;0;48;0;34;0
41;0;45;0;35;0
33;0;54;0;34;0
27;0;56;0;38;0
29;0;48;0;44;0
28;0;36;0;57;0
30;0;39;0;52;0
28;0;42;0;51;0
43;0;41;0;37;0
53;0;38;0;30;0
42;0;44;0;35;0
35;0;54;0;32;0
32;0;59;0;30;0
25;0;53;0;43;0
25;0;48;0;48;0
28;0;39;0;54;0
41;0;33;0;47;0
47;0;34;0;40;0
49;0;40;0;32;0
43;0;50;0;28;0
37;0;55;0;29;0
29;0;55;0;37;0
34;0;54;0;33;0
34;0;48;0;39;0
35;0;45;0;41;0
30;0;51;0;40;0
33;0;49;0;39;0
37;0;41;0;43;0
32;0;47;0;42;0
31;0;47;0;43;0
36;0;49;0;36;0
40;0;39;0;42;0
38;0;40;0;43;0
37;0;42;0;42;0
44;0;49;0;28;0
39;0;48;0;34;0
36;0;51;0;34;0
33;0;54;0;34;0
31;0;51;0;39;0
25;0;54;0;42;0
23;0;50;0;48;0
25;0;45;0;51;0
31;0;35;0;55;0
35;0;38;0;48;0
47;0;37;0;37;0
53;0;39;0;29;0
47;0;52;0;22;0
33;0;62;0;26;0
25;0;65;0;31;0
28;0;57;0;36;0
31;0;46;0;44;0
30;0;44;0;47;0
35;0;38;0;48;0
40;0;43;0;38;0
49;0;37;0;35;0
41;0;42;0;38;0
37;0;48;0;36;0
32;0;56;0;33;0
30;0;49;0;42;0
27;0;50;0;44;0
34;0;41;0;46;0
39;0;38;0;44;0
42;0;36;0;43;0
41;0;45;0;35;0
39;0;57;0;25;0
40;0;57;0;24;0
32;0;62;0;27;0
19;0;57;0;45;0
25;0;47;0;49;0
25;0;48;0;48;0
30;0;40;0;51;0
30;0;43;0;48;0
37;0;41;0;43;0
47;0;42;0;32;0
43;0;41;0;37;0
35;0;51;0;35;0
29;0;53;0;39;0
33;0;50;0;38;0
27;0;51;0;43;0
27;0;43;0;51;0
39;0;36;0;46;0
39;0;36;0;46;0
47;0;36;0;38;0
48;0;43;0;30;0
46;0;47;0;28;0
34;0;57;0;30;0
26;0;61;0;34;0
28;0;54;0;39;0
32;0;47;0;42;0
32;0;41;0;48;0
39;0;40;0;42;0
39;0;46;0;36;0
43;0;54;0;24;0
36;0;56;0;29;0
30;0;59;0;32;0
17;0;59;0;45;0
27;0;45;1;48;0
31;0;39;1;50;0
35;0;38;0;48;0
39;0;37;0;45;0
49;0;45;0;27;0
52;0;48;0;21;0
43;0;50;0;28;0
30;0;58;0;33;0
26;0;59;0;36;0
31;0;53;0;37;0
35;0;46;0;40;0
36;0;36;1;48;0
27;0;49;0;45;0
36;0;47;0;38;0
38;0;38;0;45;0
34;0;43;0;44;0
37;0;47;0;37;0
45;0;46;0;30;0
43;0;46;0;32;0
39;0;51;0;31;0
38;0;51;0;32;0
33;0;53;1;34;0
34;0;49;0;38;0
39;0;44;0;38;0
39;0;41;1;40;0
38;0;44;2;37;0
32;0;52;1;36;0
41;0;47;0;33;0
43;0;41;0;37;0
45;0;47;0;29;0
39;0;57;0;25;0
32;0;62;0;27;0
28;0;54;0;39;0
31;0;51;0;39;0
28;0;43;0;50;0
31;0;46;1;43;0
29;0;44;1;47;0
45;0;39;1;36;0
39;0;43;2;37;0
48;0;39;1;33;0
44;0;47;0;30;0
34;0;56;0;31;0
26;0;54;0;41;0
35;0;49;0;37;0
35;0;44;1;41;0
45;0;35;0;41;0
45;0;42;1;32;1
43;0;46;2;29;1
36;0;50;1;33;1
34;0;50;0;36;1
38;0;48;0;34;1
33;0;49;1;37;1
36;0;45;2;37;1
42;0;42;2;34;1
37;0;53;1;29;1
38;0;49;0;33;0
26;0;54;0;40;0
31;0;50;0;39;0
33;0;51;0;36;0
36;0;44;0;40;0
41;0;41;1;37;0
38;0;43;1;38;0
37;0;43;1;39;0
35;0;45;0;40;0
38;0;41;0;41;0
37;0;43;1;39;0
39;0;45;0;36;0
38;0;44;0;38;0
44;0;42;0;34;0
34;0;49;0;37;0
39;0;50;0;31;0
34;0;50;0;36;0
33;0;53;0;34;0
33;0;44;0;43;0
40;0;40;2;38;0
37;0;44;0;39;0
35;0;44;1;40;0
43;0;44;3;30;0
39;0;45;3;33;0
43;0;44;2;31;0
35;0;43;4;38;0
40;0;49;1;30;0
32;0;47;1;40;0
37;0;46;1;36;0
34;0;44;0;41;1
39;1;42;1;37;0
37;1;45;1;36;0
33;1;53;0;33;0
34;1;50;2;33;0
34;0;43;2;41;0
40;0;37;2;41;0
34;0;40;2;44;0
34;0;45;0;41;0
30;0;50;0;40;0
37;0;41;1;41;0
35;0;40;1;44;0
48;0;35;1;36;0
50;0;38;1;31;0
52;0;38;3;27;0
39;0;47;2;32;0
32;0;53;3;32;0
25;0;59;2;34;0
33;0;48;2;37;0
30;0;40;2;48;0
34;0;38;1;47;0
44;0;36;1;39;0
50;0;33;3;34;0
53;0;37;0;30;0
44;0;51;0;25;0
32;0;61;0;27;0
26;0;63;0;31;0
20;0;57;3;40;0
29;0;38;3;50;0
35;0;29;4;52;0
44;0;27;1;48;0
58;0;29;1;32;0
52;0;43;0;25;0
34;0;60;1;25;0
23;0;66;1;30;0
26;0;52;1;41;0
26;0;46;0;48;0
30;0;43;0;47;0
42;0;37;1;40;0
51;0;37;0;32;0
50;0;40;0;30;0
47;0;50;1;22;0
26;0;65;0;29;0
31;0;61;2;26;0
25;0;55;3;37;0
27;0;45;1;47;0
21;0;47;0;52;0
31;0;33;0;56;0
50;0;25;0;45;0
55;0;31;3;31;0
54;0;44;1;21;0
33;0;61;1;25;0
29;0;62;2;27;0
24;0;56;2;38;0
31;0;45;0;44;0
36;0;38;1;45;0
39;0;37;2;42;0
46;0;40;2;32;0
45;0;43;2;30;0
42;0;45;3;30;0
35;0;49;2;34;0
32;0;46;1;41;0
32;0;47;0;41;0
30;0;40;2;48;0
27;0;45;4;44;0
38;0;33;5;44;0
45;0;33;4;38;0
54;0;33;0;33;0
48;0;43;0;29;0
47;0;46;0;27;0
28;0;62;0;30;0
33;0;56;2;29;0
33;0;38;4;45;0
38;0;38;0;44;0
41;0;39;2;38;0
50;0;41;6;23;0
49;0;40;4;27;0
32;0;52;3;33;0
31;0;52;3;34;0
25;0;57;3;35;0
25;0;45;5;45;0
24;0;36;3;57;0
40;0;31;3;46;0
55;0;25;1;39;0
47;0;36;3;34;0
45;0;49;3;23;0
43;0;58;1;18;0
34;0;52;3;31;0
24;0;48;5;43;0
34;0;42;2;42;0
40;0;37;1;42;0
39;0;33;0;48;0
37;0;43;4;36;0
47;0;41;8;24;0
47;0;43;3;27;0
36;0;43;2;39;0
34;0;51;2;33;0
28;0;54;1;37;0
36;0;49;2;33;0
32;0;43;3;42;0
